section,name,speed_deg_per_hr,xdo_numerical,xdo_alphabetical,nodal_correction
Long Term Constituents,Zo,0.000000,0 555 555,Z ZZZ ZZZ,z
Long Term Constituents,Sa,0.041067,0 565 545,Z ZAZ ZYZ,z
Long Term Constituents,Sa,0.0410686,0 565 555,Z ZAZ ZZZ,z
Long Term Constituents,Ssa,0.0821373,0 575 555,Z ZBZ ZZZ,z
Long Term Constituents,Sta,0.1232039,0 585 544,Z ZCZ ZYY,x
Long Term Constituents,MSm,0.4715211,0 636 555,Z AXA ZZZ,x
Long Term Constituents,Mnum (Mm),0.4715211,0 636 555,Z AXA ZZZ,x
Long Term Constituents,Mm,0.5443745,0 654 555,Z AZY ZZZ,y
Long Term Constituents,MSf,1.0158958,0 735 555,Z BXZ ZZZ,b
Long Term Constituents,MSo,1.0158958,0 735 555,Z BXZ ZZZ,b
Long Term Constituents,SM,1.0158958,0 735 555,Z BXZ ZZZ,x
Long Term Constituents,Mf,1.0980330,0 755 555,Z BZZ ZZZ,y
Long Term Constituents,KOo,1.0980330,0 755 555,Z BZZ ZZZ,x
Long Term Constituents,MKo,1.0980330,0 755 555,Z BZZ ZZZ,x
Long Term Constituents,Snu2 (S2),1.4874158,0 816 555,Z CVA ZZZ,x
Long Term Constituents,SN,1.5602705,0 834 555,Z CXY ZZZ,x
Long Term Constituents,MStm,1.5695541,0 836 555,Z CXA ZZZ,x
Long Term Constituents,Mfm,1.6424078,0 854 555,Z CZY ZZZ,a
Long Term Constituents,2SM,2.0317915,0 915 555,Z DVZ ZZZ,c
Long Term Constituents,MSqm,2.1139287,0 935 555,Z DXZ ZZZ,b
Long Term Constituents,Mqm,2.1867829,0 953 555,Z DZX ZZZ,m
Long Term Constituents,2SMN,2.5761662,,Z EVY ZZZ,x
Diurnal Constituents,2Q1,12.8542862,1 257 554,A WZB ZZY,o
Diurnal Constituents,NJ1,12.854286,1 257 554,A WZB ZZY,x
Diurnal Constituents,nuJ1 (J1),12.9271398,1 275 554,A WBZ ZZY,o
Diurnal Constituents,sigma1 (1),12.9271398,1 275 554,A WBZ ZZY,o
Diurnal Constituents,Q1,13.3986609,1 356 554,A XZA ZZY,o
Diurnal Constituents,NK1,13.39866,1 356 555,A XZA ZZZ,x
Diurnal Constituents,rho1 (1),13.4715145,1 374 554,A XBY ZZY,o
Diurnal Constituents,nuK1 (K1),13.4715146,1 374 554,A XBY ZZY,x
Diurnal Constituents,O1,13.9430356,1 455 554,A YZZ ZZY,y
Diurnal Constituents,MK1,13.9430356,1 455 554,A YZZ ZZY,x
Diurnal Constituents,MS1,13.9841042,1 465 557,A YAZ ZZB,x
Diurnal Constituents,MP1,14.0251729,1 475 555,A YBZ ZZZ,m
Diurnal Constituents,MP1,14.025173,1 475 556,A YBZ ZZA,m
Diurnal Constituents,tau1 (1),14.0251729,1 475 556,A YBZ ZZA,k
Diurnal Constituents,M1B,14.4874103,1 554 554,A ZZY ZZY,y
Diurnal Constituents,M1B,14.487410,1 554 556,A ZZY ZZA,Y
Diurnal Constituents,M1C,14.492052,1 555 555,A ZZZ ZZZ,Y
Diurnal Constituents,M1,14.492052,1 555 556,A ZZZ ZZA,Y
Diurnal Constituents,M1,14.492052,1 555 557,A ZZZ ZZB,Y
Diurnal Constituents,NO1,14.4966939,1 556 556,A ZZA ZZA,X
Diurnal Constituents,M1A,14.496694,1 556 556,A ZZA ZZA,Y
Diurnal Constituents,M1,14.4966939,1 556 556,A ZZA ZZA,y
Diurnal Constituents,LP1,14.5695476,1 574 554,A ZBY ZZY,x
Diurnal Constituents,chi1 (1),14.5695476,1 574 556,A ZBY ZZA,j
Diurnal Constituents,pi1 (1),14.9178647,1 625 564,A AWZ ZAY,z
Diurnal Constituents,TK1,14.9178647,1 625 564,A AWZ ZAY,x
Diurnal Constituents,P1,14.9589314,1 635 554,A AXZ ZZY,z
Diurnal Constituents,SK1,14.958931,1 635 555,A AXZ ZZZ,x
Diurnal Constituents,S1,15.0000000,1 645 555,A AYZ ZZZ,z
Diurnal Constituents,S1,15.0000000,1 645 557,A AYZ ZZB,z
Diurnal Constituents,S1,15.000002,1 645 566,A AYZ ZAA,z
Diurnal Constituents,SP1,15.0410686,1 655 555,A AZZ ZZZ,x
Diurnal Constituents,K1,15.0410686,1 655 555,A AZZ ZZZ,y
Diurnal Constituents,MO1,15.0410686,1 655 555,A AZZ ZZZ,x
Diurnal Constituents,K1,15.041069,1 655 556,A AZZ ZZA,y
Diurnal Constituents,RP1,15.0821353,1 665 544,A AAZ ZYY,x
Diurnal Constituents,psi1 (1),15.0821353,1 665 546,A AAZ ZYA,z
Diurnal Constituents,phi1 (1),15.123206,1 675 556,A ABZ ZZA,j
Diurnal Constituents,KP1,15.1232059,1 675 556,A ABZ ZZA,x
Diurnal Constituents,lambdaO1 (O1),15.5125897,1 736 554,A BXA ZZY,x
Diurnal Constituents,theta1 (1),15.5125897,1 736 556,A BXA ZZA,j
Diurnal Constituents,MQ1,15.5854434,1 754 555,A BZY ZZZ,x
Diurnal Constituents,J1,15.5854433,1 754 556,A BZY ZZA,y
Diurnal Constituents,2PO1,15.9748271,1 815 554,A CVZ ZZY,x
Diurnal Constituents,SO1,16.0569644,1 835 555,A CXZ ZZZ,x
Diurnal Constituents,SO1,16.0569644,1 835 556,A CXZ ZZA,x
Diurnal Constituents,OO1,16.1391017,1 855 556,A CZZ ZZA,d
Diurnal Constituents,ups1 (1),16.6834764,1 954 556,A DZY ZZA,d
Diurnal Constituents,KQ1,16.6834764,1 954 556,A DZY ZZA,x
Semi-Diurnal Constituents,2MN2S2,26.4079380,2 096 555,B UDA ZZZ,x
Semi-Diurnal Constituents,3M(SK)2,26.8701754,2 175 555,B VBZ ZZZ,x
Semi-Diurnal Constituents,3MKS2,26.8701754,2 175 555,B VBZ ZZZ,x
Semi-Diurnal Constituents,2NS2,26.8794591,2 177 555,B VBB ZZZ,x
Semi-Diurnal Constituents,3M2S2,26.952313,2 195 555,B VDZ ZZZ,x
Semi-Diurnal Constituents,3MS2,26.9523127,2 195 555,B VDZ ZZZ,x
Semi-Diurnal Constituents,2NK2S2,26.9615964,2 197 555,B VDB ZZZ,x
Semi-Diurnal Constituents,OQ2,27.3416965,2 256 555,B WZA ZZZ,x
Semi-Diurnal Constituents,MNK2,27.3416965,2 256 555,B WZA ZZZ,x
Semi-Diurnal Constituents,OQ2,27.341696,2 256 557,B WZA ZZB,x
Semi-Diurnal Constituents,MNS2,27.4238338,2 276 555,B WBA ZZZ,x
Semi-Diurnal Constituents,eps2 (2),27.4238338,2 276 555,B WBA ZZZ,m
Semi-Diurnal Constituents,MnuS2 (MS2),27.4966874,2 294 555,B WDY ZZZ,x
Semi-Diurnal Constituents,2ML2S2,27.4966874,2 294 557,B WDY ZZB,x
Semi-Diurnal Constituents,MNK2S2,27.505971,2 296 555,B WDA ZZZ,x
Semi-Diurnal Constituents,2MS2K2,27.8039339,2 335 555,B XXZ ZZZ,x
Semi-Diurnal Constituents,2MK2,27.8860712,2 355 555,B XZZ ZZZ,x
Semi-Diurnal Constituents,O2,27.8860712,2 355 555,B XZZ ZZZ,x
Semi-Diurnal Constituents,NLK2,27.8860712,2 355 557,B XZZ ZZB,x
Semi-Diurnal Constituents,2N2,27.8953548,2 357 555,B XZB ZZZ,m
Semi-Diurnal Constituents,mu2 (2),27.9682085,2 375 555,B XBZ ZZZ,m
Semi-Diurnal Constituents,2MS2,27.9682085,2 375 555,B XBZ ZZZ,x
Semi-Diurnal Constituents,SNK2,28.3575923,2 436 555,B YXA ZZZ,x
Semi-Diurnal Constituents,NA2,28.3986629,2 446 555,B YYA ZZZ,f
Semi-Diurnal Constituents,NA2,28.398663,2 446 565,B YYA ZAZ,f
Semi-Diurnal Constituents,N2,28.4397295,2 456 555,B YZA ZZZ,m
Semi-Diurnal Constituents,KQ2,28.4397295,2 456 555,B YZA ZZZ,x
Semi-Diurnal Constituents,NB2,28.4807962,2 466 545,B YAA ZYZ,f
Semi-Diurnal Constituents,NA2*,28.480798,2 466 555,B YAA ZZZ,f
Semi-Diurnal Constituents,nu2 (2),28.5125833,2 474 555,B YBY ZZZ,m
Semi-Diurnal Constituents,2KN2S2,28.6040041,2 496 555,B YDA ZZZ,x
Semi-Diurnal Constituents,MSK2,28.9019670,2 535 555,B ZXZ ZZZ,x
Semi-Diurnal Constituents,OP2,28.9019670,2 535 555,B ZXZ ZZZ,x
Semi-Diurnal Constituents,OP2,28.901967,2 535 557,B ZXZ ZZB,x
Semi-Diurnal Constituents,gamma2 (2),28.9112506,2 537 557,B ZXB ZZB,y
Semi-Diurnal Constituents,MA2,28.943036,2 545 555,B ZYZ ZZZ,f
Semi-Diurnal Constituents,MPS2,28.9430356,2 545 556,B ZYZ ZZA,x
Semi-Diurnal Constituents,alpha2 (2),28.9430376,2 545 567,B ZYZ ZAB,y
Semi-Diurnal Constituents,M(SK)2,28.9430356,2 545 567,B ZYZ ZAB,x
Semi-Diurnal Constituents,M2,28.9841042,2 555 555,B ZZZ ZZZ,y
Semi-Diurnal Constituents,KO2,28.9841042,2 555 555,B ZZZ ZZZ,x
Semi-Diurnal Constituents,M(KS)2,29.0251788,2 565 545,B ZAZ ZYZ,x
Semi-Diurnal Constituents,MSP2,29.0251729,2 565 554,B ZAZ ZZY,x
Semi-Diurnal Constituents,MB2,29.025173,2 565 555,B ZAZ ZZZ,f
Semi-Diurnal Constituents,MA2*,29.025173,2 565 555,B ZAZ ZZZ,f
Semi-Diurnal Constituents,MKS2,29.0662415,2 575 555,B ZBZ ZZZ,x
Semi-Diurnal Constituents,delta2 (2),29.066242,2 575 555,B ZBZ ZZZ,y
Semi-Diurnal Constituents,M2(KS)2,29.1483780,2 595 555,B ZDZ ZZZ,x
Semi-Diurnal Constituents,2KM2S2,29.1483788,2 595 555,B ZDZ ZZZ,x
Semi-Diurnal Constituents,2SN(MK)2,29.3734880,2 616 555,B AVA ZZZ,x
Semi-Diurnal Constituents,lambda2 (2),29.4556253,2 636 557,B AXA ZZB,m
Semi-Diurnal Constituents,L2,29.5284789,2 654 557,B AZY ZZB,y
Semi-Diurnal Constituents,2MN2,29.5284790,2 654 557,B AZY ZZB,x
Semi-Diurnal Constituents,L2A,29.528479,2 654 557,B AZY ZZB,p
Semi-Diurnal Constituents,L2B,29.537763,2 656 555,B AZA ZZZ,q
Semi-Diurnal Constituents,NKM2,29.5377626,2 656 555,B AZA ZZZ,x
Semi-Diurnal Constituents,2SK2,29.9178627,2 715 555,B BVZ ZZZ,x
Semi-Diurnal Constituents,T2,29.9589333,2 725 565,B BWZ ZAZ,z
Semi-Diurnal Constituents,S2,30.0000000,2 735 555,B BXZ ZZZ,z
Semi-Diurnal Constituents,KP2,30.0000000,2 735 555,B BXZ ZZZ,x
Semi-Diurnal Constituents,R2,30.0410667,2 745 547,B BYZ ZYB,z
Semi-Diurnal Constituents,K2,30.0821373,2 755 555,B BZZ ZZZ,y
Semi-Diurnal Constituents,MSnu2 (MS2),30.4715211,2 816 555,B CVA ZZZ,x
Semi-Diurnal Constituents,MSN2,30.5443747,2 834 555,B CXY ZZZ,x
Semi-Diurnal Constituents,xi2 (2),30.5536583,2 836 555,B CXA ZZZ,y
Semi-Diurnal Constituents,eta2 (2),30.6265120,2 854 555,B CZY ZZZ,y
Semi-Diurnal Constituents,KJ2,30.6265120,2 854 557,B CZY ZZB,x
Semi-Diurnal Constituents,2KM(SN)2,30.7086493,2 874 555,B CBY ZZZ,x
Semi-Diurnal Constituents,2SM2,31.0158958,2 915 555,B DVZ ZZZ,x
Semi-Diurnal Constituents,2MS2N2,31.0887494,2 933 555,B DXX ZZZ,x
Semi-Diurnal Constituents,SKM2,31.0980330,2 935 555,B DXZ ZZZ,x
Semi-Diurnal Constituents,2Snu2 (2S2),31.4874168,,B ETA ZZZ,x
Semi-Diurnal Constituents,3(SM)N2,31.4874168,,B ETA ZZZ,x
Semi-Diurnal Constituents,2SN2,31.5602705,,B EVY ZZZ,x
Semi-Diurnal Constituents,SKN2,31.6424078,,B EXY ZZZ,x
Semi-Diurnal Constituents,3S2M2,32.0317915,,B FTZ ZZZ,x
Semi-Diurnal Constituents,2SK2M2,32.1139288,,B FVZ ZZZ,x
Third-Diurnal Constituents,MQ3,42.3827651,3 356 554,C XZA ZZY,x
Third-Diurnal Constituents,NO3,42.3827651,3 356 554,C XZA ZZY,x
Third-Diurnal Constituents,MQ3,42.382765,3 356 555,C XZA ZZZ,x
Third-Diurnal Constituents,NO3,42.382765,3 356 555,C XZA ZZZ,x
Third-Diurnal Constituents,MO3,42.9271398,3 455 554,C YZZ ZZY,x
Third-Diurnal Constituents,2MK3,42.9271398,3 455 554,C YZZ ZZY,x
Third-Diurnal Constituents,MO3,42.927140,3 455 555,C YZZ ZZZ,x
Third-Diurnal Constituents,2NKM3,42.9364235,3 457 556,C YZB ZZA,x
Third-Diurnal Constituents,2MS3,42.9682085,3 465 557,C YAZ ZZB,x
Third-Diurnal Constituents,2MP3,43.0092771,3 475 556,C YBZ ZZA,x
Third-Diurnal Constituents,M3,43.4761564,3 555 557,C ZZZ ZZB,g
Third-Diurnal Constituents,NK3,43.4807982,3 556 555,C ZZA ZZZ,x
Third-Diurnal Constituents,NK3,43.480798,3 556 556,C ZZA ZZA,x
Third-Diurnal Constituents,SO3,43.9430356,3 635 554,C AXZ ZZY,x
Third-Diurnal Constituents,MP3,43.9430356,3 635 554,C AXZ ZZY,x
Third-Diurnal Constituents,MP3,43.943036,3 635 555,C AXZ ZZZ,x
Third-Diurnal Constituents,MS3,43.9841042,3 645 557,C AYZ ZZB,x
Third-Diurnal Constituents,MK3,44.0251729,3 655 555,C AZZ ZZZ,x
Third-Diurnal Constituents,MK3,44.025173,3 655 556,C AZZ ZZA,x
Third-Diurnal Constituents,NSO3,44.4966939,3 736 556,C BXA ZZA,x
Third-Diurnal Constituents,2MQ3,44.5695476,3 754 556,C BZY ZZA,x
Third-Diurnal Constituents,SP3,44.9589314,3 815 554,C CVZ ZZY,x
Third-Diurnal Constituents,SP3,44.958931,3 815 555,C CVZ ZZZ,x
Third-Diurnal Constituents,S3,45.000000,3 825 557,C CWZ ZZB,x
Third-Diurnal Constituents,SK3,45.0410686,3 835 555,C CXZ ZZZ,x
Third-Diurnal Constituents,SK3,45.041069,3 835 556,C CXZ ZZA,x
Third-Diurnal Constituents,K3,45.1232059,3 855 555,C CZZ ZZZ,x
Third-Diurnal Constituents,K3,45.123206,3 855 556,C CZZ ZZA,x
Third-Diurnal Constituents,2SO3,46.0569644,,C EVZ ZZA,x
Quarter-Diurnal Constituents,4MS4,55.9364170,4 195 555,D VDZ ZZZ,x
Quarter-Diurnal Constituents,4M2S4,55.936417,4 195 555,D VDZ ZZZ,x
Quarter-Diurnal Constituents,2MNK4,56.3258007,4 256 555,D WZA ZZZ,x
Quarter-Diurnal Constituents,3NM4,56.3350844,4 258 555,D WZC ZZZ,x
Quarter-Diurnal Constituents,2MNS4,56.4079380,4 276 555,D WBA ZZZ,x
Quarter-Diurnal Constituents,2MnuS4 (2MS4),56.4807917,4 294 555,D WDY ZZZ,x
Quarter-Diurnal Constituents,3MK4,56.8701754,4 355 555,D XZZ ZZZ,x
Quarter-Diurnal Constituents,MNLK4,56.8701754,4 355 557,D XZZ ZZB,x
Quarter-Diurnal Constituents,N4,56.8794591,4 357 555,D XZB ZZZ,x
Quarter-Diurnal Constituents,2N4,56.879459,4 357 555,D XZB ZZZ,x
Quarter-Diurnal Constituents,3MS4,56.9523127,4 375 555,D XBZ ZZZ,x
Quarter-Diurnal Constituents,2NKS4,56.9615964,4 377 555,D XBB ZZZ,x
Quarter-Diurnal Constituents,MSNK4,57.3416965,4 436 555,D YXA ZZZ,x
Quarter-Diurnal Constituents,MN4,57.4238338,4 456 555,D YZA ZZZ,x
Quarter-Diurnal Constituents,Mnu4 (M4),57.4966874,4 474 555,D YBY ZZZ,x
Quarter-Diurnal Constituents,2MLS4,57.4966874,4 474 557,D YBY ZZB,x
Quarter-Diurnal Constituents,MNKS4,57.5059711,4 476 555,D YBA ZZZ,x
Quarter-Diurnal Constituents,2MSK4,57.8860712,4 535 555,D ZXZ ZZZ,x
Quarter-Diurnal Constituents,MA4,57.927140,4 545 555,D ZYZ ZZZ,x
Quarter-Diurnal Constituents,M4,57.9682085,4 555 555,D ZZZ ZZZ,x
Quarter-Diurnal Constituents,2MRS4,58.0092752,4 565 547,D ZAZ ZYB,x
Quarter-Diurnal Constituents,2MKS4,58.0503458,4 575 555,D ZBZ ZZZ,x
Quarter-Diurnal Constituents,SN4,58.4397295,4 636 555,D AXA ZZZ,x
Quarter-Diurnal Constituents,3MN4,58.5125832,4 654 555,D AZY ZZZ,x
Quarter-Diurnal Constituents,ML4,58.5125832,4 654 555,D AZY ZZZ,x
Quarter-Diurnal Constituents,ML4,58.512583,4 654 557,D AZY ZZB,x
Quarter-Diurnal Constituents,KN4,58.5218668,4 656 555,D AZA ZZZ,x
Quarter-Diurnal Constituents,NK4,58.521867,4 656 555,D AZA ZZZ,x
Quarter-Diurnal Constituents,2SMK4,58.9019670,4 715 555,D BVZ ZZZ,x
Quarter-Diurnal Constituents,M2SK4,58.901967,4 715 555,D BVZ ZZZ,x
Quarter-Diurnal Constituents,MT4,58.9430376,4 725 565,D BWZ ZAZ,x
Quarter-Diurnal Constituents,MS4,58.9841042,4 735 555,D BXZ ZZZ,x
Quarter-Diurnal Constituents,MR4,59.0251709,4 745 547,D BYZ ZYB,x
